Date,Volume,Close,reportedEPS,surprise,Value,Headline_score,RSI,InsiderFlow,sentiment,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),Value(t-1),Value(t-2),Value(t-3),Value(t-4),Value(t-5),Value(t-6),Value(t-7),Value(t-8),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8),Close_Tmr
2016-01-14,252680400.0,0.021870621830079484,0.49,0.7937862875572681,66.0,0.199796558,32.96696043613548,-0.009619102800000001,0.0,249758400.0,196616800.0,198957600.0,283192000.0,324377600.0,273829600.0,223164000.0,270597600.0,-0.02571057232063112,0.01451356187315267,0.016192046502020663,0.005287977860307214,-0.04220456975570386,-0.01956955805435512,-0.025059455033278444,0.0008548998355082382,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.8036023141993748,0.8136594944270628,0.8239666406298588,0.8564825217666883,0.8678865375227981,0.8795914821738118,0.8916091312764858,0.9039518655218901,69.0,71.0,67.0,59.0,78.0,71.0,68.0,71.0,0.0785537494,0.1930052096,0.1508173771,0.05635936905,-0.37263470260000003,-0.2870322864,-0.11812291500000001,0.2237439859,25.461257602706453,28.03455517730069,27.851257911836967,21.463952987958592,24.73624061249835,26.557113677520547,26.041017534118893,34.155234083609315,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02401500016735203
2016-01-15,319335600.0,-0.02401500016735203,0.49,0.7842030031990538,58.5,0.463716191775,30.61219568620527,-0.009619102800000001,8.0,252680400.0,249758400.0,196616800.0,198957600.0,283192000.0,324377600.0,273829600.0,223164000.0,0.021870621830079484,-0.02571057232063112,0.01451356187315267,0.016192046502020663,0.005287977860307214,-0.04220456975570386,-0.01956955805435512,-0.025059455033278444,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7937862875572681,0.8036023141993748,0.8136594944270628,0.8239666406298588,0.8564825217666883,0.8678865375227981,0.8795914821738118,0.8916091312764858,66.0,69.0,71.0,67.0,59.0,78.0,71.0,68.0,0.199796558,0.0785537494,0.1930052096,0.1508173771,0.05635936905,-0.37263470260000003,-0.2870322864,-0.11812291500000001,32.96696043613548,25.461257602706453,28.03455517730069,27.851257911836967,21.463952987958592,24.73624061249835,26.557113677520547,26.041017534118893,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014426783209418259
2016-01-18,319335600.0,-0.014426783209418259,0.49,0.756771053650096,63.0,-0.0041261499,24.587001903254773,-0.009619102800000001,0.0,319335600.0,252680400.0,249758400.0,196616800.0,198957600.0,283192000.0,324377600.0,273829600.0,-0.02401500016735203,0.021870621830079484,-0.02571057232063112,0.01451356187315267,0.016192046502020663,0.005287977860307214,-0.04220456975570386,-0.01956955805435512,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7842030031990538,0.7937862875572681,0.8036023141993748,0.8136594944270628,0.8239666406298588,0.8564825217666883,0.8678865375227981,0.8795914821738118,58.5,66.0,69.0,71.0,67.0,59.0,78.0,71.0,0.463716191775,0.199796558,0.0785537494,0.1930052096,0.1508173771,0.05635936905,-0.37263470260000003,-0.2870322864,30.61219568620527,32.96696043613548,25.461257602706453,28.03455517730069,27.851257911836967,21.463952987958592,24.73624061249835,26.557113677520547,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048385662514844885
2016-01-19,212350800.0,-0.0048385662514844885,0.49,0.7480419039395078,65.0,0.0202156814,25.904175843195304,-0.009619102800000001,8.0,319335600.0,319335600.0,252680400.0,249758400.0,196616800.0,198957600.0,283192000.0,324377600.0,-0.014426783209418259,-0.02401500016735203,0.021870621830079484,-0.02571057232063112,0.01451356187315267,0.016192046502020663,0.005287977860307214,-0.04220456975570386,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.756771053650096,0.7842030031990538,0.7937862875572681,0.8036023141993748,0.8136594944270628,0.8239666406298588,0.8564825217666883,0.8678865375227981,63.0,58.5,66.0,69.0,71.0,67.0,59.0,78.0,-0.0041261499,0.463716191775,0.199796558,0.0785537494,0.1930052096,0.1508173771,0.05635936905,-0.37263470260000003,24.587001903254773,30.61219568620527,32.96696043613548,25.461257602706453,28.03455517730069,27.851257911836967,21.463952987958592,24.73624061249835,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013447510025657028
2016-01-20,289337600.0,0.0013447510025657028,0.49,0.7395087313831705,69.0,-0.1227827746,29.024229588304138,-0.009619102800000001,6.0,212350800.0,319335600.0,319335600.0,252680400.0,249758400.0,196616800.0,198957600.0,283192000.0,-0.0048385662514844885,-0.014426783209418259,-0.02401500016735203,0.021870621830079484,-0.02571057232063112,0.01451356187315267,0.016192046502020663,0.005287977860307214,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7480419039395078,0.756771053650096,0.7842030031990538,0.7937862875572681,0.8036023141993748,0.8136594944270628,0.8239666406298588,0.8564825217666883,65.0,63.0,58.5,66.0,69.0,71.0,67.0,59.0,0.0202156814,-0.0041261499,0.463716191775,0.199796558,0.0785537494,0.1930052096,0.1508173771,0.05635936905,25.904175843195304,24.587001903254773,30.61219568620527,32.96696043613548,25.461257602706453,28.03455517730069,27.851257911836967,21.463952987958592,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.005062481835931276
2016-01-21,208646000.0,-0.005062481835931276,0.49,0.7311651137733974,68.0,0.3344442375,28.180261458068685,-0.009619102800000001,6.0,289337600.0,212350800.0,319335600.0,319335600.0,252680400.0,249758400.0,196616800.0,198957600.0,0.0013447510025657028,-0.0048385662514844885,-0.014426783209418259,-0.02401500016735203,0.021870621830079484,-0.02571057232063112,0.01451356187315267,0.016192046502020663,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7395087313831705,0.7480419039395078,0.756771053650096,0.7842030031990538,0.7937862875572681,0.8036023141993748,0.8136594944270628,0.8239666406298588,69.0,65.0,63.0,58.5,66.0,69.0,71.0,67.0,-0.1227827746,0.0202156814,-0.0041261499,0.463716191775,0.199796558,0.0785537494,0.1930052096,0.1508173771,29.024229588304138,25.904175843195304,24.587001903254773,30.61219568620527,32.96696043613548,25.461257602706453,28.03455517730069,27.851257911836967,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,6.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.05316706433110707
2016-01-22,263202000.0,0.05316706433110707,0.49,0.7230049018149869,59.75,0.61197132215,42.35706235857351,-0.009619102800000001,6.0,208646000.0,289337600.0,212350800.0,319335600.0,319335600.0,252680400.0,249758400.0,196616800.0,-0.005062481835931276,0.0013447510025657028,-0.0048385662514844885,-0.014426783209418259,-0.02401500016735203,0.021870621830079484,-0.02571057232063112,0.01451356187315267,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7311651137733974,0.7395087313831705,0.7480419039395078,0.756771053650096,0.7842030031990538,0.7937862875572681,0.8036023141993748,0.8136594944270628,68.0,69.0,65.0,63.0,58.5,66.0,69.0,71.0,0.3344442375,-0.1227827746,0.0202156814,-0.0041261499,0.463716191775,0.199796558,0.0785537494,0.1930052096,28.180261458068685,29.024229588304138,25.904175843195304,24.587001903254773,30.61219568620527,32.96696043613548,25.461257602706453,28.03455517730069,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,6.0,6.0,8.0,0.0,8.0,0.0,0.0,0.0,-0.019522545300274863
2016-01-25,207178000.0,-0.019522545300274863,0.49,0.6995670106804869,71.0,0.183597076,43.47312291318036,-0.009619102800000001,7.0,263202000.0,208646000.0,289337600.0,212350800.0,319335600.0,319335600.0,252680400.0,249758400.0,0.05316706433110707,-0.005062481835931276,0.0013447510025657028,-0.0048385662514844885,-0.014426783209418259,-0.02401500016735203,0.021870621830079484,-0.02571057232063112,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7230049018149869,0.7311651137733974,0.7395087313831705,0.7480419039395078,0.756771053650096,0.7842030031990538,0.7937862875572681,0.8036023141993748,59.75,68.0,69.0,65.0,63.0,58.5,66.0,69.0,0.61197132215,0.3344442375,-0.1227827746,0.0202156814,-0.0041261499,0.463716191775,0.199796558,0.0785537494,42.35706235857351,28.180261458068685,29.024229588304138,25.904175843195304,24.587001903254773,30.61219568620527,32.96696043613548,25.461257602706453,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,6.0,6.0,6.0,8.0,0.0,8.0,0.0,0.0,0.0055306073754741725
2016-01-26,300308000.0,0.0055306073754741725,0.8200000000000001,1.548,100.0,0.9928851829,48.49511463067982,-0.009619102800000001,7.0,207178000.0,263202000.0,208646000.0,289337600.0,212350800.0,319335600.0,319335600.0,252680400.0,-0.019522545300274863,0.05316706433110707,-0.005062481835931276,0.0013447510025657028,-0.0048385662514844885,-0.014426783209418259,-0.02401500016735203,0.021870621830079484,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.6995670106804869,0.7230049018149869,0.7311651137733974,0.7395087313831705,0.7480419039395078,0.756771053650096,0.7842030031990538,0.7937862875572681,71.0,59.75,68.0,69.0,65.0,63.0,58.5,66.0,0.183597076,0.61197132215,0.3344442375,-0.1227827746,0.0202156814,-0.0041261499,0.463716191775,0.199796558,43.47312291318036,42.35706235857351,28.180261458068685,29.024229588304138,25.904175843195304,24.587001903254773,30.61219568620527,32.96696043613548,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,7.0,6.0,6.0,6.0,8.0,0.0,8.0,0.0,-0.06570628768241449
2016-01-27,533478800.0,-0.06570628768241449,0.8200000000000001,1.5445714243620305,95.0,0.2023558206,44.15285772442194,-0.009619102800000001,9.0,300308000.0,207178000.0,263202000.0,208646000.0,289337600.0,212350800.0,319335600.0,319335600.0,0.0055306073754741725,-0.019522545300274863,0.05316706433110707,-0.005062481835931276,0.0013447510025657028,-0.0048385662514844885,-0.014426783209418259,-0.02401500016735203,0.8200000000000001,0.49,0.49,0.49,0.49,0.49,0.49,0.49,1.548,0.6995670106804869,0.7230049018149869,0.7311651137733974,0.7395087313831705,0.7480419039395078,0.756771053650096,0.7842030031990538,100.0,71.0,59.75,68.0,69.0,65.0,63.0,58.5,0.9928851829,0.183597076,0.61197132215,0.3344442375,-0.1227827746,0.0202156814,-0.0041261499,0.463716191775,48.49511463067982,43.47312291318036,42.35706235857351,28.180261458068685,29.024229588304138,25.904175843195304,24.587001903254773,30.61219568620527,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,7.0,7.0,6.0,6.0,6.0,8.0,0.0,8.0,0.007171602064558469
