,Actual,Predicted,Predicted-Probs
0,1,1,"(tensor(0.3266), tensor(0.6734))"
1,1,1,"(tensor(0.0014), tensor(0.9986))"
2,0,0,"(tensor(0.9996), tensor(0.0004))"
3,1,0,"(tensor(0.6433), tensor(0.3567))"
4,1,0,"(tensor(0.5691), tensor(0.4309))"
5,0,0,"(tensor(0.5559), tensor(0.4441))"
6,0,0,"(tensor(0.6034), tensor(0.3966))"
7,1,1,"(tensor(0.3458), tensor(0.6542))"
8,1,1,"(tensor(0.0645), tensor(0.9355))"
9,1,1,"(tensor(0.0179), tensor(0.9821))"
10,1,1,"(tensor(0.4988), tensor(0.5012))"
11,1,1,"(tensor(0.4192), tensor(0.5808))"
12,1,1,"(tensor(0.4231), tensor(0.5769))"
13,1,0,"(tensor(0.5462), tensor(0.4538))"
14,1,0,"(tensor(0.7145), tensor(0.2855))"
15,1,1,"(tensor(0.1577), tensor(0.8423))"
16,1,1,"(tensor(0.0045), tensor(0.9955))"
17,1,1,"(tensor(0.4901), tensor(0.5099))"
18,0,1,"(tensor(0.4675), tensor(0.5325))"
19,0,0,"(tensor(0.5030), tensor(0.4970))"
20,0,0,"(tensor(0.5144), tensor(0.4856))"
21,1,1,"(tensor(0.0206), tensor(0.9794))"
22,1,1,"(tensor(2.2363e-06), tensor(1.0000))"
23,1,1,"(tensor(8.2445e-05), tensor(0.9999))"
24,1,1,"(tensor(0.3733), tensor(0.6267))"
25,1,1,"(tensor(0.4988), tensor(0.5012))"
26,0,0,"(tensor(0.5774), tensor(0.4226))"
27,0,1,"(tensor(0.4686), tensor(0.5314))"
28,1,1,"(tensor(0.2679), tensor(0.7321))"
29,1,1,"(tensor(0.1130), tensor(0.8870))"
30,1,1,"(tensor(0.4397), tensor(0.5603))"
31,1,0,"(tensor(0.5072), tensor(0.4928))"
32,0,1,"(tensor(0.4775), tensor(0.5225))"
33,0,1,"(tensor(0.4666), tensor(0.5334))"
34,0,1,"(tensor(0.4990), tensor(0.5010))"
35,1,1,"(tensor(0.2456), tensor(0.7544))"
36,1,1,"(tensor(6.2231e-05), tensor(0.9999))"
37,1,1,"(tensor(0.0004), tensor(0.9996))"
38,1,0,"(tensor(0.5623), tensor(0.4377))"
39,1,0,"(tensor(0.5173), tensor(0.4827))"
40,0,0,"(tensor(0.5209), tensor(0.4791))"
41,0,0,"(tensor(0.6391), tensor(0.3609))"
42,1,0,"(tensor(0.5543), tensor(0.4457))"
43,1,1,"(tensor(0.0340), tensor(0.9660))"
44,1,1,"(tensor(0.0040), tensor(0.9960))"
45,1,1,"(tensor(0.4472), tensor(0.5528))"
46,1,0,"(tensor(0.5180), tensor(0.4820))"
47,1,0,"(tensor(0.5412), tensor(0.4588))"
48,1,0,"(tensor(0.5452), tensor(0.4548))"
49,0,0,"(tensor(0.9950), tensor(0.0050))"
50,1,1,"(tensor(0.1127), tensor(0.8873))"
51,1,1,"(tensor(0.4548), tensor(0.5452))"
52,1,1,"(tensor(0.4001), tensor(0.5999))"
53,0,0,"(tensor(0.5472), tensor(0.4528))"
54,1,1,"(tensor(0.4644), tensor(0.5356))"
55,1,1,"(tensor(0.4185), tensor(0.5815))"
56,1,1,"(tensor(0.3512), tensor(0.6488))"
57,1,1,"(tensor(0.0005), tensor(0.9995))"
58,1,1,"(tensor(0.0027), tensor(0.9973))"
59,1,0,"(tensor(0.5367), tensor(0.4633))"
60,0,1,"(tensor(0.4613), tensor(0.5387))"
61,1,1,"(tensor(0.4926), tensor(0.5074))"
62,1,1,"(tensor(0.3447), tensor(0.6553))"
63,1,1,"(tensor(0.2635), tensor(0.7365))"
64,1,1,"(tensor(0.0007), tensor(0.9993))"
65,1,1,"(tensor(0.0038), tensor(0.9962))"
