ticker,cik
A,1090872
AA,1675149
AAL,6201
AAOI,1158114
AAPL,320193
ABBV,1551152
ABNB,1559720
ABT,1800
ACHR,1824502
ADBE,796343
ADM,7084
AES,874761
AGNC,1423689
AI,1577526
AKAM,1086222
AMAT,6951
AMD,2488
AMRS,1365916
AMZN,1018724
APLD,1144879
APPH,1807707
AR,1433270
ARR,1428205
ASXC,876378
AUR,1828108
AVGO,1730168
AXP,4962
BA,12927
BAC,70858
BANC,1169770
BAX,10456
BKE,885245
BLZE,1462056
BMY,14272
BOWL,1840572
BRK-B,1067983
BSX,885725
BX,1393818
BYND,1655210
C,831001
CARR,1783180
CAT,18230
CGNX,851205
CHPT,1777393
CMBM,1738177
CMCSA,1166691
COIN,1679788
COP,1163165
CRM,1108524
CROX,1334036
CSCO,858877
CSX,277948
CTRA,858470
CVNA,1690820
CVX,93410
DAL,27904
DELL,1571996
DIS,1744489
DISH,1001082
DOCU,1261333
DVN,1090012
EBAY,1065088
ENVX,1828318
ESRT,1541401
ET,1276187
ET,1276187
ETRN,1747009
ETSY,1370637
EVRI,1318568
EW,1099800
EYE,1710155
F,37996
FCEL,886128
FCX,831259
FDX,1048911
FFIE,1805521
FHN,36966
FITB,35527
FLEX,866374
FSLY,1517413
FSR,1720990
FTAI,1590364
FTC,1828161
FTI,1681459
FUBO,1484769
GE,40545
GM,1467858
GOEV,1750153
GOOG,1652044
GPS,39911
HAL,45012
HARP,1708493
HAYW,1834622
HBAN,49196
HBI,1359841
HLIT,851310
HOOD,1783879
HTZ,1657853
INTC,50863
IONQ,1824920
IP,51434
JBLU,1158463
JD,1549802
JNJ,200406
JPM,19617
KDP,1418135
KEY,91576
KMI,1506307
KO,21344
KVUE,1944048
LAZR,1758057
LCID,1811210
LLY,59478
LSXMK,1560385
LUMN,18926
LUV,92380
LYFT,1759509
M,794367
MARA,1507605
MAT,63276
MCD,63908
META,1326801
MLM,916076
MMM,66740
MRVL,1835632
MSFT,789019
MTCH,891103
MU,723125
MXL,1288469
NCLH,1513761
NET,1477333
NFLX,1065280
NHWK,1476963
NOG,1104485
NOV,1021860
NOVA,1772695
NVDA,1045810
NYCB,910073
OPCH,1014739
OPEN,1801169
ORCL,1341439
OSTK,1130713
PACW,1102112
PARA,813828
PCG,1004980
PEP,77476
PFE,78003
PG,80424
PINS,1506293
PLUG,1093691
PRPL,1643953
PTEN,889900
PWR,1050915
PYPL,1633917
QCOM,804328
QS,1811414
RBLX,1315098
RCL,884887
RIOT,1167419
RKT,1805284
ROKU,1428439
RTX,101829
RUN,1469367
SBUX,829224
SCHW,316709
SHAK,1620533
SHOP,1594805
SIRI,908937
SMPL,1702744
SNAP,1564408
SOFI,1818874
SOUN,1840856
SPCE,1706946
SPWR,867773
T,732717
TDOC,1477449
TER,97210
TFC,92230
TGT,27419
TSLA,1318605
TTD,1671933
TWNK,1644406
U,1810806
UBER,1543151
UCTT,1275014
UPS,1090727
UPST,1647639
USB,36104
V,1403161
VICI,1705696
VIRX,1061027
VLO,1035002
VTRS,1792044
VZ,732712
WBA,1618921
WBD,1437107
WFC,72971
WFRD,1603923
WMT,104169
WSC,1647088
WU,1365135
XPOF,1802156
ZM,1585521
ATVI,718877
