Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
MLCO,19.98,Call,22,2020-09-18,38,0.9,0.93,0.95,0.95,47493,114,416.61,65.72%,N/A,2020-08-11
BHC,17.66,Call,18.5,2020-08-21,10,0.32,0.33,0.34,0.33,31102,165,188.5,55.76%,N/A,2020-08-11
RF,11.93,Call,13,2020-09-18,38,0.25,0.28,0.3,0.28,47331,379,124.88,42.51%,N/A,2020-08-11
AFL,38.03,Call,42.5,2020-11-20,101,0.95,1.03,1.1,1,19163,162,118.29,31.00%,N/A,2020-08-11
GPS,15.02,Call,18.5,2020-08-28,17,0.23,0.25,0.27,0.25,15443,162,95.33,91.84%,N/A,2020-08-11
GPS,15.02,Call,15.5,2020-08-28,17,0,0.52,1.04,0.98,15397,224,68.74,91.57%,N/A,2020-08-11
XOM,44.97,Put,45,2020-08-14,3,1.12,1.17,1.21,1.16,14127,222,63.64,70.54%,N/A,2020-08-11
CTL,11.04,Put,11,2020-11-20,101,0.91,1.02,1.13,1.05,20111,361,55.71,47.32%,N/A,2020-08-11
REAL,16.51,Call,15,2021-02-19,192,4.6,4.7,4.8,4.64,6910,134,51.57,84.54%,N/A,2020-08-11
BAC,26.92,Put,27.5,2020-08-14,3,0.73,0.76,0.79,0.78,6935,167,41.53,43.85%,N/A,2020-08-11
SNAP,21.6,Put,21.5,2020-08-28,17,1.01,1.04,1.07,1.05,5052,125,40.42,59.65%,N/A,2020-08-11
BA,180.13,Put,185,2020-08-14,3,6.8,7.1,7.4,7.1,10211,264,38.68,64.25%,N/A,2020-08-11
BA,180.13,Put,187.5,2020-08-14,3,8.8,9.08,9.35,9.25,4592,134,34.27,70.52%,N/A,2020-08-11
LVS,51,Call,52.5,2020-10-16,66,3.95,4.1,4.25,4.04,10033,308,32.57,53.67%,N/A,2020-08-11
LBTYK,21.44,Call,21.5,2020-08-21,10,0.65,0.68,0.7,0.65,5688,177,32.14,47.69%,N/A,2020-08-11
DDOG,75.68,Call,84,2020-08-14,3,0.2,0.23,0.25,0.2,6635,225,29.49,80.44%,N/A,2020-08-11
ALT,23.1,Put,19,2020-08-21,10,0.9,0.95,1,0.9,4095,140,29.25,175.21%,N/A,2020-08-11
WYNN,88.29,Call,95,2020-08-14,3,0.62,0.7,0.77,0.67,3692,134,27.55,86.09%,N/A,2020-08-11
JPM,103.82,Put,104,2020-08-14,3,1.35,1.48,1.6,1.44,3339,122,27.37,36.03%,N/A,2020-08-11
PENN,46.6,Put,47,2020-08-14,3,1.75,1.96,2.17,2.1,3741,137,27.31,112.07%,N/A,2020-08-11
JPM,103.82,Call,111,2020-08-21,10,0.41,0.45,0.5,0.47,8518,340,25.05,37.16%,N/A,2020-08-11
XOM,44.97,Call,44,2020-09-04,24,1.44,1.55,1.65,1.65,5081,203,25.03,23.56%,N/A,2020-08-11
KSS,23.24,Put,17.5,2020-09-18,38,0.55,0.62,0.68,0.6,6527,261,25.01,96.03%,N/A,2020-08-11
C,53.76,Call,57,2020-08-28,17,0.74,0.78,0.81,0.74,4234,178,23.79,40.61%,N/A,2020-08-11
PLAY,15.95,Call,17,2020-08-14,3,0.2,0.23,0.25,0.15,3140,135,23.26,86.03%,N/A,2020-08-11
WMT,130.2,Put,135,2020-08-21,10,6.95,7.08,7.2,7.05,12381,533,23.23,48.67%,N/A,2020-08-11
AEO,11.56,Call,12,2020-08-21,10,0.35,0.38,0.4,0.4,15663,675,23.2,76.25%,N/A,2020-08-11
ZM,232.25,Call,240,2020-08-14,3,2.4,2.53,2.65,2.5,2903,128,22.68,69.60%,N/A,2020-08-11
MLCO,19.98,Call,20,2020-09-18,38,1.7,1.73,1.75,1.75,12097,544,22.24,68.05%,N/A,2020-08-11
BA,180.13,Put,182.5,2020-08-14,3,4.9,5.58,6.25,5.28,4997,229,21.82,60.94%,N/A,2020-08-11
JCI,40.79,Call,45,2021-01-15,157,1.5,1.65,1.8,1.66,11002,549,20.04,29.23%,N/A,2020-08-11
C,53.76,Put,53.5,2020-08-14,3,0.61,0.64,0.66,0.65,2022,101,20.02,39.99%,N/A,2020-08-11
ALLY,22.43,Put,22,2020-08-21,10,0.55,0.64,0.73,0.64,5084,254,20.02,57.36%,N/A,2020-08-11
ZM,232.25,Call,245,2020-08-14,3,1.3,1.35,1.4,1.37,2341,117,20.01,68.50%,N/A,2020-08-11
XPO,84,Call,87.5,2020-09-18,38,3.2,3.45,3.7,3.4,2134,108,19.76,44.52%,N/A,2020-08-11
LVS,51,Call,53,2020-08-14,3,0.46,0.5,0.54,0.52,2719,138,19.7,67.92%,N/A,2020-08-11
CSCO,47.19,Put,48,2020-11-20,101,3.6,3.78,3.95,3.42,2211,115,19.23,31.05%,N/A,2020-08-11
LVS,51,Call,55,2020-08-14,3,0.14,0.2,0.26,0.23,2628,137,19.18,73.76%,N/A,2020-08-11
RIG,2.33,Call,3.5,2021-02-19,192,0.37,0.4,0.43,0.43,2317,129,17.96,109.94%,N/A,2020-08-11
GSX,98.02,Put,130,2020-08-21,10,33.1,33.85,34.6,33,22028,1276,17.26,129.69%,N/A,2020-08-11
MGM,21.5,Call,22.5,2020-08-21,10,0.56,0.6,0.64,0.62,5707,333,17.14,71.77%,N/A,2020-08-11
BAC,26.92,Put,28,2020-08-14,3,1.14,1.19,1.23,1.27,2719,160,16.99,58.32%,N/A,2020-08-11
RCL,58.67,Put,60,2020-08-14,3,2.4,2.7,3,2.69,1744,103,16.93,91.25%,N/A,2020-08-11
BAC,26.92,Put,27.5,2020-08-21,10,0.97,0.99,1.01,1,2994,177,16.92,37.70%,N/A,2020-08-11
RUN,42.37,Call,60,2020-09-18,38,0.5,0.58,0.65,0.55,4594,275,16.71,80.48%,N/A,2020-08-11
FDX,196.45,Put,190,2020-08-21,10,2.18,2.27,2.35,2.32,3706,227,16.33,38.47%,N/A,2020-08-11
