Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
NVDA,139.37,Call,140,2022-09-02,1,1.85,1.9,1.94,1.92,60345,211,286,76.01%,0.463369,2022-09-01
NVDA,139.37,Call,145,2022-09-02,1,0.42,0.43,0.44,0.45,34474,358,96.3,73.39%,0.156177,2022-09-01
OVV,51.02,Put,45,2022-10-21,50,2.15,2.25,2.35,2.35,22769,299,76.15,67.77%,-0.264266,2022-09-01
CTIC,6.48,Put,6,2022-10-21,50,0.65,1.03,1.4,1,8012,109,73.5,135.46%,-0.341116,2022-09-01
NVDA,139.37,Call,143,2022-09-02,1,0.79,0.81,0.83,0.89,7472,116,64.41,73.06%,0.257265,2022-09-01
NVDA,139.37,Call,144,2022-09-02,1,0.58,0.6,0.61,0.65,7961,124,64.2,73.18%,0.202555,2022-09-01
OKTA,60.6,Put,60,2022-09-02,1,1.2,1.24,1.28,1.16,6667,111,60.06,120.96%,-0.424774,2022-09-01
NVDA,139.37,Put,131,2022-09-02,1,0.25,0.27,0.28,0.25,7428,132,56.27,87.40%,-0.084088,2022-09-01
AMD,82.33,Call,80,2022-09-09,8,3.95,4,4.05,4.05,15518,308,50.38,56.37%,0.652447,2022-09-01
NVDA,139.37,Call,145,2022-09-09,8,2.23,2.26,2.29,2.38,9698,193,50.25,53.67%,0.325426,2022-09-01
AMD,82.33,Call,83,2022-09-02,1,0.89,0.91,0.92,0.92,17983,377,47.7,70.90%,0.421464,2022-09-01
NVDA,139.37,Put,132,2022-09-02,1,0.33,0.35,0.36,0.31,14092,324,43.49,86.60%,-0.11074,2022-09-01
NVDA,139.37,Put,126,2022-09-09,8,0.84,0.86,0.87,0.87,5009,129,38.83,62.98%,-0.12858,2022-09-01
AMD,82.33,Call,82,2022-09-02,1,1.38,1.39,1.4,1.42,22415,607,36.93,70.83%,0.551171,2022-09-01
LAZR,8.39,Put,8,2022-09-09,8,0.19,0.22,0.24,0.22,5119,139,36.83,79.68%,-0.320502,2022-09-01
MSFT,260.4,Call,257.5,2022-09-02,1,3.75,3.95,4.15,4.01,7284,202,36.06,41.87%,0.699764,2022-09-01
NWL,17.46,Put,17,2022-09-16,15,0.35,0.38,0.4,0.38,4491,131,34.28,41.23%,-0.363143,2022-09-01
NVDA,139.37,Put,133,2022-09-02,1,0.44,0.45,0.47,0.42,14926,453,32.95,84.95%,-0.141012,2022-09-01
MRVL,45.97,Call,46.5,2022-09-02,1,0.59,0.63,0.66,0.61,3452,107,32.26,87.83%,0.410863,2022-09-01
NVDA,139.37,Call,148,2022-09-02,1,0.16,0.17,0.18,0.19,6023,195,30.89,76.60%,0.069852,2022-09-01
AMZN,127.82,Call,126,2022-09-02,1,2.38,2.49,2.59,2.38,44695,1537,29.08,47.58%,0.722736,2022-09-01
ARCC,19.3,Put,15,2023-01-20,141,0.25,0.35,0.45,0.37,20118,719,27.98,39.25%,-0.137362,2022-09-01
NVDA,139.37,Put,130,2022-09-02,1,0.19,0.2,0.21,0.18,53689,1981,27.1,90.52%,-0.067598,2022-09-01
AMD,82.33,Put,79,2022-09-02,1,0.28,0.29,0.29,0.27,27811,1054,26.39,79.70%,-0.155742,2022-09-01
MSFT,260.4,Call,260,2022-09-02,1,2.15,2.29,2.42,2.2,30369,1202,25.27,36.60%,0.536571,2022-09-01
AMC,8.58,Put,7,2022-12-16,106,1.62,1.64,1.66,1.62,4311,173,24.92,144.68%,-0.254804,2022-09-01
NVDA,139.37,Put,135,2022-09-02,1,0.77,0.79,0.8,0.77,61718,2482,24.87,81.51%,-0.220811,2022-09-01
AAPL,157.96,Call,157.5,2022-09-02,1,1.41,1.49,1.57,1.49,124729,5081,24.55,37.72%,0.563566,2022-09-01
NKLA,5.32,Put,5,2022-09-09,8,0.14,0.15,0.16,0.15,25841,1061,24.36,92.78%,-0.300275,2022-09-01
RIVN,31.95,Call,32,2022-09-16,15,1.8,1.83,1.85,1.85,11127,471,23.62,72.01%,0.527452,2022-09-01
AIG,52.34,Put,50,2022-09-16,15,0.55,0.63,0.7,0.8,10041,442,22.72,36.66%,-0.256914,2022-09-01
DKNG,15.96,Call,15.5,2022-09-09,8,0.89,0.92,0.94,0.9,4663,213,21.89,68.83%,0.634213,2022-09-01
DXC,26.7,Call,27,2022-10-21,50,1.65,1.78,1.9,1.75,2611,121,21.58,46.90%,0.516489,2022-09-01
AMD,82.33,Call,81,2022-09-02,1,2.03,2.04,2.05,2.07,20783,970,21.43,73.99%,0.670613,2022-09-01
AIG,52.34,Call,52.5,2022-10-21,50,2.3,2.38,2.45,2.25,2549,122,20.89,31.83%,0.511672,2022-09-01
X,21.48,Call,24,2022-09-30,29,0.59,0.61,0.63,0.55,2008,104,19.31,60.70%,0.288867,2022-09-01
KR,48.61,Put,48.5,2022-09-09,8,1.59,1.62,1.64,1.57,3774,198,19.06,58.29%,-0.471997,2022-09-01
BA,153.66,Call,155,2022-09-02,1,1.09,1.15,1.2,1.2,5074,270,18.79,55.45%,0.388789,2022-09-01
DXC,26.7,Call,27,2022-09-16,15,1,1.05,1.1,1.01,2231,119,18.75,52.64%,0.483102,2022-09-01
OLLI,54.82,Put,45,2022-09-16,15,0.1,0.18,0.25,0.2,3644,198,18.4,65.81%,-0.060212,2022-09-01
FSLR,127.84,Put,126,2022-09-02,1,1,1.08,1.15,1.2,1949,106,18.39,69.97%,-0.338794,2022-09-01
LOW,195.76,Put,185,2022-09-09,8,0.69,0.75,0.82,0.84,2055,112,18.35,36.08%,-0.138666,2022-09-01
COIN,65.53,Call,65,2022-09-02,1,1.72,1.8,1.87,1.76,3946,215,18.35,108.44%,0.568518,2022-09-01
MSFT,260.4,Call,255,2022-09-02,1,5.75,6.05,6.35,6.1,2974,164,18.13,46.93%,0.806996,2022-09-01
