Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
PFE,33.99,Call,30,2023-10-20,30,4.15,4.2,4.25,4.1,30028,102,294.39,37.47%,0.886467,2023-09-19
AX,39.31,Put,37.5,2023-10-20,30,1.65,1.7,1.75,1.75,13262,105,126.3,59.72%,-0.350979,2023-09-19
BAC,28.65,Call,24,2023-10-20,30,4.8,4.82,4.85,4.75,25500,215,118.6,46.42%,0.918425,2023-09-19
DAL,39.45,Call,40,2023-10-06,16,0.73,0.75,0.76,0.75,11632,102,114.04,29.24%,0.434441,2023-09-19
SIRI,4.18,Put,3.5,2023-11-17,58,0.11,0.14,0.16,0.11,36405,435,83.69,58.56%,-0.18437,2023-09-19
NIO,8.55,Call,9,2023-09-22,2,0.15,0.16,0.16,0.16,26538,344,77.15,130.37%,0.315505,2023-09-19
UEC,5.1,Put,4.5,2023-11-17,58,0.25,0.28,0.3,0.25,27766,387,71.75,66.74%,-0.263952,2023-09-19
PINS,26.21,Call,27,2023-10-06,16,0.55,0.73,0.91,0.61,7396,110,67.24,41.85%,0.394183,2023-09-19
FSR,6.31,Put,10,2023-11-17,58,3.85,3.93,4,3.86,11001,185,59.46,104.64%,-0.819016,2023-09-19
NIO,8.55,Call,9.5,2023-09-29,9,0.16,0.17,0.17,0.17,7830,144,54.38,89.83%,0.252336,2023-09-19
NIO,8.55,Call,8.5,2023-09-22,2,0.34,0.35,0.36,0.34,6914,128,54.02,124.42%,0.544952,2023-09-19
NIO,8.55,Put,8,2023-09-22,2,0.11,0.11,0.12,0.11,15543,305,50.96,127.47%,-0.225215,2023-09-19
CCL,15.09,Call,16,2023-10-06,16,0.48,0.49,0.49,0.5,26820,577,46.48,68.05%,0.358479,2023-09-19
GIS,65.88,Call,70,2024-04-19,212,2.4,2.55,2.7,2.55,6189,151,40.99,19.73%,0.392621,2023-09-19
NIO,8.55,Put,8.5,2023-09-22,2,0.27,0.28,0.28,0.29,23266,583,39.91,119.38%,-0.454899,2023-09-19
X,31.66,Put,31.5,2023-09-22,2,0.26,0.28,0.29,0.25,6027,154,39.14,37.79%,-0.419616,2023-09-19
ROIV,10.8,Put,10,2023-10-20,30,0.65,0.7,0.75,0.75,5496,141,38.98,94.71%,-0.332516,2023-09-19
PENN,23.75,Call,27.5,2023-10-13,23,0.2,0.22,0.24,0.22,3518,100,35.18,51.32%,0.147414,2023-09-19
SNAP,9,Put,11,2023-12-15,86,2.34,2.36,2.37,2.36,4505,137,32.88,61.56%,-0.698336,2023-09-19
SQ,49.8,Call,50,2023-09-29,9,1.23,1.25,1.26,1.22,2984,101,29.54,41.98%,0.496856,2023-09-19
AMZN,137.63,Call,147,2023-10-20,30,1.21,1.23,1.25,1.22,3079,105,29.32,25.99%,0.215995,2023-09-19
JD,30.64,Call,31.5,2023-10-20,30,0.96,0.97,0.98,0.99,5564,197,28.24,38.86%,0.416757,2023-09-19
ITUB,5.53,Put,5,2025-01-17,485,0.45,0.55,0.65,0.56,5000,182,27.47,36.81%,-0.299185,2023-09-19
ALK,39.08,Put,35,2023-10-20,30,0.2,0.23,0.25,0.23,5771,213,27.09,34.22%,-0.117381,2023-09-19
NIO,8.55,Call,9,2023-09-29,9,0.28,0.29,0.29,0.28,7779,290,26.82,85.05%,0.379222,2023-09-19
CVS,71.99,Call,73,2023-09-22,2,0.2,0.21,0.21,0.21,12287,476,25.81,27.00%,0.247725,2023-09-19
FTNT,60.44,Put,60,2023-09-22,2,0.4,0.45,0.5,0.52,2554,106,24.09,36.71%,-0.385293,2023-09-19
SQ,49.8,Call,51,2023-10-20,30,1.87,1.89,1.91,1.87,2819,123,22.92,40.40%,0.456828,2023-09-19
ENPH,122.09,Call,127,2023-09-22,2,0.48,0.53,0.59,0.51,5903,266,22.19,57.36%,0.183892,2023-09-19
MPW,6.02,Put,5.5,2023-10-13,23,0.18,0.19,0.2,0.19,2773,125,22.18,68.23%,-0.273323,2023-09-19
MU,70.71,Put,62,2023-10-13,23,0.36,0.37,0.38,0.41,2282,105,21.73,43.14%,-0.097972,2023-09-19
BAM,35.59,Put,30,2024-01-19,121,0.25,0.38,0.5,0.4,5006,241,20.77,29.03%,-0.125564,2023-09-19
RIVN,22.74,Put,20.5,2023-10-06,16,0.42,0.43,0.44,0.42,2042,100,20.42,68.96%,-0.210483,2023-09-19
